state,year,e_waste_tons,industrial_scrap_tons,magnet_reuse_tons,local_ev_production_tons,local_supply_tons,recycling_capacity_tons,total_demand_tons,import_tons
GA,2019,550,360,170,2200,1080,2200,4800,3400
GA,2020,633,414,201,2552,1231,2310,4992,3298
GA,2021,727,476,237,2960,1404,2426,5192,3199
GA,2022,836,548,279,3434,1600,2547,5399,3103
GA,2023,962,630,330,3983,1824,2674,5615,3010
GA,2024,1106,724,389,4621,2079,2808,5840,2920
GA,2025,1272,833,459,5360,2371,2948,6074,2832
GA,2026,1463,958,542,6218,2702,3096,6316,2747
NY,2019,800,520,260,2000,1580,3000,6200,4200
NY,2020,920,598,307,2320,1801,3150,6448,4074
NY,2021,1058,688,362,2691,2053,3308,6706,3952
NY,2022,1217,791,427,3122,2341,3473,6974,3833
NY,2023,1399,909,504,3621,2669,3647,7253,3718
NY,2024,1609,1046,595,4201,3042,3829,7543,3607
NY,2025,1850,1203,702,4873,3468,4020,7845,3498
NY,2026,2128,1383,828,5652,3954,4221,8159,3394
NC,2019,480,320,150,1800,950,2000,4200,2800
NC,2020,552,368,177,2088,1083,2100,4368,2716
NC,2021,635,423,209,2422,1235,2205,4543,2635
NC,2022,730,487,246,2810,1407,2315,4724,2555
NC,2023,840,560,291,3259,1605,2431,4913,2479
NC,2024,965,644,343,3781,1829,2553,5110,2404
NC,2025,1110,740,405,4386,2085,2680,5314,2332
NC,2026,1277,851,478,5087,2377,2814,5527,2262
MN,2019,400,260,130,1200,790,1600,2800,1600
MN,2020,460,299,153,1392,901,1680,2912,1552
MN,2021,529,344,181,1615,1027,1764,3028,1505
MN,2022,608,395,214,1873,1170,1852,3150,1460
MN,2023,700,455,252,2173,1334,1945,3276,1416
MN,2024,805,523,297,2520,1521,2042,3407,1374
MN,2025,925,601,351,2924,1734,2144,3543,1333
MN,2026,1064,692,414,3391,1977,2251,3685,1293
IN,2019,380,250,120,2000,750,1400,4000,2800
IN,2020,437,288,142,2320,855,1470,4160,2716
IN,2021,503,331,167,2691,975,1544,4326,2635
IN,2022,578,380,197,3122,1111,1621,4499,2555
IN,2023,665,437,233,3621,1267,1702,4679,2479
IN,2024,764,503,275,4201,1444,1787,4867,2404
IN,2025,879,578,324,4873,1646,1876,5061,2332
IN,2026,1011,665,382,5652,1877,1970,5264,2262
UT,2019,350,240,110,800,700,1400,2400,1400
UT,2020,402,276,130,928,798,1470,2496,1358
UT,2021,463,317,153,1076,910,1544,2596,1317
UT,2022,532,365,181,1249,1037,1621,2700,1278
UT,2023,612,420,213,1449,1182,1702,2808,1239
UT,2024,704,483,252,1680,1348,1787,2920,1202
UT,2025,810,555,297,1949,1536,1876,3037,1166
UT,2026,931,638,350,2261,1752,1970,3158,1131
NM,2019,300,200,90,600,590,1200,1800,1000
NM,2020,345,230,106,696,673,1260,1872,970
NM,2021,397,264,125,807,767,1323,1947,941
NM,2022,456,304,148,937,874,1389,2025,913
NM,2023,525,350,174,1086,996,1459,2106,885
NM,2024,603,402,206,1260,1136,1532,2190,859
NM,2025,694,463,243,1462,1295,1608,2278,833
NM,2026,798,532,287,1696,1476,1689,2369,808
SC,2019,350,230,110,1600,690,1400,3400,2400
SC,2020,402,265,130,1856,787,1470,3536,2328
SC,2021,463,304,153,2153,897,1544,3677,2258
SC,2022,532,350,181,2497,1022,1621,3825,2190
SC,2023,612,402,213,2897,1165,1702,3978,2125
SC,2024,704,463,252,3361,1329,1787,4137,2061
SC,2025,810,532,297,3898,1515,1876,4302,1999
SC,2026,931,612,350,4522,1727,1970,4474,1939
MO,2019,320,210,100,1400,630,1200,3000,2200
MO,2020,368,241,118,1624,718,1260,3120,2134
MO,2021,423,278,139,1884,819,1323,3245,2070
MO,2022,487,319,164,2185,933,1389,3375,2008
MO,2023,560,367,194,2535,1064,1459,3510,1948
MO,2024,644,422,229,2940,1213,1532,3650,1889
MO,2025,740,486,270,3411,1383,1608,3796,1833
MO,2026,851,559,319,3957,1576,1689,3948,1778
VA,2019,400,260,130,1600,790,1600,3600,2400
VA,2020,460,299,153,1856,901,1680,3744,2328
VA,2021,529,344,181,2153,1027,1764,3894,2258
VA,2022,608,395,214,2497,1170,1852,4050,2190
VA,2023,700,455,252,2897,1334,1945,4211,2125
VA,2024,805,523,297,3361,1521,2042,4380,2061
VA,2025,925,601,351,3898,1734,2144,4555,1999
VA,2026,1064,692,414,4522,1977,2251,4737,1939
TN,2019,380,250,120,1400,750,1400,3200,2200
TN,2020,437,288,142,1624,855,1470,3328,2134
TN,2021,503,331,167,1884,975,1544,3461,2070
TN,2022,578,380,197,2185,1111,1621,3600,2008
TN,2023,665,437,233,2535,1267,1702,3744,1948
TN,2024,764,503,275,2940,1444,1787,3893,1889
TN,2025,879,578,324,3411,1646,1876,4049,1833
TN,2026,1011,665,382,3957,1877,1970,4211,1778
